1,0.612,-2.102,0.000,0.000,0.000,0.000,1
2,0.612,-2.102,0.260,0.000,0.000,0.000,1
3,0.612,-2.102,1.005,0.000,0.000,0.000,1
4,0.612,-2.102,1.899,0.000,0.000,0.000,1
5,0.612,-2.102,2.694,0.000,0.000,0.000,1
6,0.612,-2.102,3.319,0.000,0.000,0.000,1
7,0.612,-2.102,3.770,0.000,0.000,0.000,1
8,0.612,-2.102,4.049,0.000,0.000,0.000,1
9,0.612,-2.102,4.170,0.000,0.000,0.000,1
10,0.612,-2.102,4.192,0.000,0.000,0.000,1
11,0.612,-2.102,4.166,0.000,0.000,0.000,1
12,0.612,-2.102,4.123,0.000,0.000,0.000,1
13,0.612,-2.102,4.081,0.000,0.000,0.000,1
14,0.612,-2.102,4.047,0.000,0.000,0.000,1
15,0.612,-2.102,4.023,0.000,0.000,0.000,1
16,0.612,-2.102,4.008,0.000,0.000,0.000,1
17,0.612,-2.102,4.004,0.000,0.000,0.000,1
18,0.612,-2.102,4.002,0.000,0.000,0.000,1
19,0.612,-2.102,3.999,0.000,0.000,0.000,1
20,0.612,-2.102,3.997,0.000,0.000,0.000,1
21,0.612,-2.102,3.995,0.000,0.000,0.000,1
22,0.612,-2.102,3.993,0.000,0.000,0.000,2
23,0.612,-2.102,3.992,0.000,-0.215,0.040,2
24,0.611,-2.102,3.990,0.000,-0.355,0.067,2
25,0.609,-2.103,3.989,0.000,-0.155,0.029,2
26,0.607,-2.103,3.994,0.000,0.069,-0.013,2
27,0.604,-2.104,3.995,0.000,0.011,0.033,2
28,0.602,-2.104,3.995,0.000,0.129,-0.001,2
29,0.600,-2.105,3.995,0.000,0.207,-0.037,2
30,0.599,-2.105,3.995,0.000,0.154,0.159,4
31,0.599,-2.106,3.996,0.000,0.063,0.300,4
32,0.598,-2.108,3.996,0.000,-0.021,0.331,4
33,0.598,-2.111,3.996,0.000,-0.076,0.268,4
34,0.597,-2.115,3.996,0.000,-0.038,-0.059,4
35,0.597,-2.119,3.996,0.000,0.013,-0.316,4
36,0.596,-2.122,3.996,0.000,0.254,-0.334,5
37,0.596,-2.124,3.996,0.000,0.403,-0.236,5
38,0.597,-2.125,3.996,0.000,0.411,-0.093,5
39,0.600,-2.125,3.997,0.000,0.311,0.038,5
40,0.604,-2.126,3.997,0.000,0.159,0.121,5
41,0.609,-2.127,3.997,0.000,0.014,0.143,5
42,0.613,-2.128,3.997,0.000,-0.085,0.114,5
43,0.618,-2.130,3.997,0.000,-0.122,0.058,5
44,0.622,-2.132,3.997,0.000,-0.105,-0.000,5
45,0.625,-2.134,3.997,0.000,-0.055,-0.042,5
46,0.629,-2.137,3.998,0.000,0.001,-0.060,5
47,0.632,-2.138,3.998,0.000,0.044,-0.055,5
48,0.636,-2.140,3.998,0.000,0.064,-0.034,5
49,0.640,-2.142,3.998,0.000,0.060,-0.009,5
50,0.644,-2.143,3.998,0.000,0.039,0.011,5
51,0.648,-2.145,3.998,0.000,0.013,0.022,5
52,0.652,-2.146,3.998,0.000,-0.009,0.023,5
53,0.656,-2.148,3.998,0.000,-0.022,0.016,5
54,0.660,-2.150,3.998,0.000,-0.025,0.006,5
55,0.664,-2.151,3.998,0.000,-0.019,-0.003,5
56,0.668,-2.153,3.999,0.000,-0.009,-0.009,5
57,0.672,-2.155,3.999,0.000,0.000,-0.011,5
58,0.676,-2.157,3.999,0.000,0.007,-0.009,5
59,0.680,-2.158,3.999,0.000,0.009,-0.005,5
60,0.684,-2.160,3.999,0.000,0.007,-0.001,5
61,0.688,-2.162,3.999,0.000,0.003,0.002,5
62,0.692,-2.163,3.999,0.000,-0.001,0.003,5
63,0.697,-2.165,3.999,0.000,-0.005,0.003,5
